n,iterations,avg_days,avg_total_calls,avg_useful_calls,avg_wasted_calls,avg_runtime_ms
100,1000,9.876,675.495,99,576.495,0
130,1000,10.265,918.628,129,789.628,0
169,1000,10.736,1261.41,168,1093.41,0
220,1000,11.185,1727.03,219,1508.03,0
286,1000,11.655,2356.28,285,2071.28,0
372,1000,12.151,3229.51,371,2858.51,0
484,1000,12.55,4355.64,483,3872.64,0
630,1000,13.002,5927.05,629,5298.05,0
819,1000,13.436,8020.55,818,7202.55,0
1065,400,13.87,10815.8,1064,9751.8,0
1385,400,14.2975,14586.1,1384,13202.1,0
1801,400,14.6775,19602.2,1800,17802.2,0
2342,400,15.1275,26332.1,2341,23991.1,0
3045,400,15.6075,35631.1,3044,32587.1,0
3959,400,16.2025,48182.7,3958,44224.7,0.0525
5147,400,16.42,63845.5,5146,58699.5,0.9725
6692,400,16.9875,86609.3,6691,79918.3,1.0075
8700,400,17.305,115352,8699,106653,1.5475
11310,150,17.5,151455,11309,140146,2.1
14703,150,17.9733,203214,14702,188512,3.1
19114,150,18.4867,273079,19113,253966,4.2
24849,150,18.9133,364102,24848,339254,5.78
32304,150,19.34,486753,32303,454450,7.65333
41996,150,19.6267,642838,41995,600843,10.28
54595,150,20.1133,861241,54594,806647,14.0333
70974,150,20.5667,1.14994e+06,70973,1.07897e+06,18.7133
92267,150,20.9933,1.52403e+06,92266,1.43176e+06,25.2533
119948,80,21.325,2.01606e+06,119947,1.89611e+06,33.425
155933,80,21.775,2.69138e+06,155932,2.53545e+06,44.7625
202713,80,22.0375,3.57053e+06,202712,3.36781e+06,59.575
263527,80,22.4,4.71255e+06,263526,4.44903e+06,78.7
342586,80,22.7625,6.25551e+06,342585,5.91293e+06,104.912
445362,80,23.525,8.43676e+06,445361,7.99139e+06,142.288
578971,80,23.5625,1.09388e+07,578970,1.03599e+07,185.5
752663,80,24.3375,1.48367e+07,752662,1.4084e+07,252
978462,80,24.8625,1.97701e+07,978461,1.87917e+07,336.075
1272001,50,25.28,2.61288e+07,1.272e+06,2.48568e+07,440.86
1653602,50,25.74,3.48235e+07,1.6536e+06,3.31699e+07,586.92
2149683,50,26,4.56291e+07,2.14968e+06,4.34794e+07,780.02
2794588,50,26.02,5.93783e+07,2.79459e+06,5.65837e+07,1032.3
3632965,50,26.7,7.95725e+07,3.63296e+06,7.59395e+07,1392.48
4722855,50,27.26,1.05908e+08,4.72285e+06,1.01185e+08,1859.54
6139712,50,27.48,1.39137e+08,6.13971e+06,1.32998e+08,2475.56
7981626,50,28.34,1.87475e+08,7.98162e+06,1.79493e+08,3364.54
10376114,25,28.16,2.41291e+08,1.03761e+07,2.30915e+08,4484.16
13488949,25,28.6,3.18862e+08,1.34889e+07,3.05373e+08,6130.24
17535634,25,29.88,4.35643e+08,1.75356e+07,4.18107e+08,8692.44
22796325,25,29.64,5.63663e+08,2.27963e+07,5.40867e+08,12219.2
29635223,25,30.08,7.44985e+08,2.96352e+07,7.1535e+08,19804
38525790,25,30.12,9.7146e+08,3.85258e+07,9.32934e+08,35659.2
50083527,25,30.76,1.29423e+09,5.00835e+07,1.24414e+09,59053.5
65108586,25,31.04,1.69395e+09,6.51086e+07,1.62884e+09,82613.3
84641162,25,31.44,2.2363e+09,8.46412e+07,2.15166e+09,118897
110033511,10,31.7,2.91531e+09,1.10034e+08,2.80528e+09,163812
143043565,10,32.3,3.87531e+09,1.43044e+08,3.73227e+09,226002
185956635,10,32.4,5.06649e+09,1.85957e+08,4.88053e+09,304392
