Day,TotalNewInformed,Denominator
1,10000,10000
2,19994,10000
3,39975,10000
4,79866,10000
5,159472,10000
6,317763,10000
7,631039,10000
8,1244038,10000
9,2418554,10000
10,4574812,10000
11,8206746,10000
12,13351390,10000
13,18406996,10000
14,19719230,10000
15,15383211,10000
16,8804484,10000
17,4021451,10000
18,1618005,10000
19,618594,10000
20,229834,10000
21,84715,10000
22,31565,9931
23,11590,8399
24,4200,4867
25,1571,2198
26,572,864
27,208,326
28,85,123
29,27,40
30,8,13
31,4,5
32,0,1
33,0,1
34,1,1
